2025-06-08 01:09:55.845264 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 57, length 64
2025-06-08 01:10:10.181316 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 71, length 64
2025-06-08 01:10:11.205281 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 72, length 64
2025-06-08 01:10:11.205302 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 72, length 64
2025-06-08 01:10:12.227633 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 73, length 64
2025-06-08 01:10:12.227653 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 73, length 64
2025-06-08 01:10:13.251591 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 74, length 64
2025-06-08 01:10:13.251609 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 74, length 64
2025-06-08 01:10:14.275609 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 75, length 64
2025-06-08 01:10:14.275641 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 75, length 64
2025-06-08 01:10:15.299623 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 76, length 64
2025-06-08 01:10:15.299643 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 76, length 64
2025-06-08 01:10:16.323555 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 77, length 64
2025-06-08 01:10:16.323651 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 77, length 64
2025-06-08 01:10:17.347585 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 78, length 64
2025-06-08 01:10:17.347601 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 78, length 64
2025-06-08 01:10:18.371573 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 79, length 64
2025-06-08 01:10:18.371590 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 79, length 64
2025-06-08 01:10:19.395613 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 80, length 64
2025-06-08 01:10:19.395633 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 80, length 64
2025-06-08 01:10:20.419629 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 81, length 64
2025-06-08 01:10:20.419650 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 81, length 64
2025-06-08 01:10:21.443625 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 82, length 64
2025-06-08 01:10:21.443644 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 82, length 64
2025-06-08 01:10:22.467598 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 83, length 64
2025-06-08 01:10:22.467616 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 83, length 64
2025-06-08 01:10:23.491650 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 84, length 64
2025-06-08 01:10:23.491669 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 84, length 64
2025-06-08 01:10:24.515658 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 85, length 64
2025-06-08 01:10:24.515676 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 85, length 64

